M,noise_percent,iterations,converged,initial_acc,final_acc
2000,55.00000000000001,5,True,0.1111111111111111,0.12345679012345678
2000,55.00000000000001,18,True,0.18518518518518517,0.13580246913580246
2000,55.00000000000001,12,True,0.1111111111111111,0.13580246913580246
2000,55.00000000000001,6,True,0.08641975308641975,0.09876543209876543
2000,55.00000000000001,16,True,0.08641975308641975,0.1111111111111111
2000,55.00000000000001,5,True,0.07407407407407407,0.16049382716049382
2000,55.00000000000001,20,False,0.08641975308641975,0.1111111111111111
2000,55.00000000000001,10,True,0.14814814814814814,0.16049382716049382
2000,55.00000000000001,19,True,0.12345679012345678,0.06172839506172839
2000,55.00000000000001,16,True,0.08641975308641975,0.07407407407407407
2000,55.00000000000001,15,True,0.09876543209876543,0.06172839506172839
2000,55.00000000000001,7,True,0.12345679012345678,0.1728395061728395
2000,55.00000000000001,7,True,0.14814814814814814,0.024691358024691357
2000,55.00000000000001,14,True,0.09876543209876543,0.08641975308641975
2000,55.00000000000001,4,True,0.04938271604938271,0.037037037037037035
2000,55.00000000000001,17,True,0.13580246913580246,0.2345679012345679
2000,55.00000000000001,14,True,0.08641975308641975,0.07407407407407407
2000,55.00000000000001,11,True,0.16049382716049382,0.12345679012345678
2000,55.00000000000001,6,True,0.16049382716049382,0.08641975308641975
2000,55.00000000000001,9,True,0.1111111111111111,0.14814814814814814
2000,55.00000000000001,4,True,0.08641975308641975,0.12345679012345678
2000,55.00000000000001,5,True,0.07407407407407407,0.13580246913580246
2000,55.00000000000001,20,False,0.08641975308641975,0.12345679012345678
2000,55.00000000000001,5,True,0.12345679012345678,0.08641975308641975
2000,55.00000000000001,6,True,0.14814814814814814,0.14814814814814814
2000,55.00000000000001,5,True,0.1111111111111111,0.012345679012345678
2000,55.00000000000001,3,True,0.16049382716049382,0.13580246913580246
2000,55.00000000000001,10,True,0.08641975308641975,0.07407407407407407
2000,55.00000000000001,5,True,0.1111111111111111,0.14814814814814814
2000,55.00000000000001,10,True,0.09876543209876543,0.16049382716049382
2000,55.00000000000001,5,True,0.14814814814814814,0.18518518518518517
